net,length_um
net12,186.47
net16,169.9
net10,167.16
net20,154.94
net2,147.76
net18,146.82
net11,140.57
net3,137.46
net8,135.9
net1,134.8
net9,134.5
net17,130.22
net21,128.98
net19,125.42
net6,119.46
net14,105.6
net13,105.14
net5,97.62
net7,97.26
net15,82.2
net4,76.56
_00_,67.44
_09_,16.44
data_in[3],15.16
_12_,12.5
_03_,12.1
data_in[9],11.41
data_in[11],11.34
data_in[5],11.02
sel[3],10.88
data_in[12],10.42
data_in[7],10.42
sel[0],10.42
data_in[0],9.64
sel[1],8.84
data_in[4],8.72
data_in[6],8.72
_07_,8.56
_08_,6.78
sel[2],6.77
_06_,6.5
data_in[1],5.97
data_in[8],5.97
_01_,5.94
y,5.75
data_in[14],5.63
data_in[15],5.63
_10_,5.38
data_in[13],5.29
_04_,5.12
data_in[2],4.27
data_in[10],3.93
_02_,2.16
_05_,2.16
_11_,2.06
